query_type,query,rank_from,rank_to,results_in_bucket,semantic_score_max,semantic_score_mean,semantic_score_median,semantic_score_min,semantic_ratio_mean,semantic_ratio_median,keyword_score_max,keyword_score_mean,keyword_score_median,keyword_score_min,keyword_ratio_mean,keyword_ratio_median,strict_retained,balanced_retained,permissive_retained
broad,environment,1,10,10,0.5201627612113953,0.45198684334754946,0.44329193234443665,0.4151274263858795,0.8689334897694858,0.8522177391400801,0.13341344892978668,0.08688562512397766,0.09297038987278938,0.0,0.4344281191464049,0.4648519424371132,10,10,10
broad,environment,11,25,15,0.4502163529396057,0.4059559683005015,0.4171541929244995,0.36327269673347473,0.7804402747999104,0.8019685837429011,0.1405273824930191,0.055338082586725554,0.03739607334136963,0.0,0.27669040881061935,0.1869803639206236,15,15,15
broad,environment,26,50,25,0.41556793451309204,0.3845333456993103,0.3917360007762909,0.3521718382835388,0.7392558144757986,0.7531027401192385,0.14474397897720337,0.046155155897140504,0.012396751902997494,0.0,0.23077577604687546,0.06198375859135749,25,25,25
broad,environment,51,100,50,0.3888077437877655,0.36894014835357664,0.37336279451847076,0.3326703906059265,0.7092782795415041,0.7177807070405321,0.12608058750629425,0.029779322734102606,0.012396751902997494,0.0,0.14889661145178062,0.06198375859135749,50,50,50
broad,environment,101,200,100,0.3670215606689453,0.3360339281708002,0.3497679531574249,0.014041967689990997,0.6460168878452937,0.6724202100566721,0.20000000298023224,0.028849763916805386,0.012396751902997494,0.0,0.14424881743455206,0.06198375859135749,98,100,100
broad,environment,201,300,100,0.3458630442619324,0.3199101474881172,0.3351629376411438,0.16019372642040253,0.6150193196127415,0.6443424301666472,0.07524583488702774,0.017468173583038153,0.012396751902997494,0.0,0.08734086661371042,0.06198375859135749,82,100,100
broad,environment,301,500,200,0.33397480845451355,0.2893092788010836,0.3204091638326645,0.06154633313417435,0.5561899089571843,0.615978666151477,0.053864430636167526,0.016353000118397177,0.012396751902997494,0.0,0.08176499937359244,0.06198375859135749,136,157,200
broad,environment,501,750,250,0.32019752264022827,0.28204439583420754,0.3068675100803375,0.09538726508617401,0.5422233517396762,0.5899451728641256,0.0357481949031353,0.013026425760239362,0.012396751902997494,0.0,0.06513212783065248,0.06198375859135749,154,204,237
broad,environment,751,1000,250,0.30837225914001465,0.2680432129055262,0.2925453186035156,0.05454128608107567,0.5153064250145212,0.5624111151713618,0.027866903692483902,0.01211265934072435,0.012396751902997494,0.0,0.06056329580115831,0.06198375859135749,92,189,224
broad,housing,1,10,10,0.5454179048538208,0.4850145310163498,0.494811475276947,0.4221334159374237,0.8892530419336712,0.9072153130168381,0.1721288561820984,0.13765948340296746,0.1558179184794426,0.07529393583536148,0.7678288152541597,0.8691118460122057,10,10,10
broad,housing,11,25,15,0.44075673818588257,0.41614742477734884,0.4165632128715515,0.3951185345649719,0.7629881987260426,0.7637505281077928,0.17928408086299896,0.10197482792039712,0.1128574088215828,0.017369693145155907,0.5687890828317425,0.6294892902835221,15,15,15
broad,housing,26,50,25,0.4648102819919586,0.3999321615695953,0.3986365795135498,0.36684560775756836,0.7332582190839195,0.7308828257487984,0.1512836366891861,0.08751641899347305,0.11272307485342026,0.0,0.4881438361521303,0.6287400103278455,25,25,25
broad,housing,51,100,50,0.4145320653915405,0.37026070833206176,0.37022747099399567,0.3108724355697632,0.6788569004372831,0.678795961223938,0.15068529546260834,0.03818250751122832,0.017369693145155907,0.0,0.2129721017473142,0.09688363329050427,50,50,50
broad,housing,101,200,100,0.37267598509788513,0.336905922293663,0.33892184495925903,0.274094820022583,0.6177023513446231,0.6213984578487473,0.07370983064174652,0.009588678926229477,0.0,0.0,0.053483158571991256,0.0,93,100,100
broad,housing,201,300,100,0.3264041841030121,0.29133363127708434,0.3098270744085312,0.1494821161031723,0.5341475384002394,0.568054461819637,0.06380517780780792,0.013220128044486046,0.017369693145155907,0.0,0.07373843779575884,0.09688363329050427,67,85,100
broad,housing,301,500,200,0.30850958824157715,0.26906517695635557,0.28844133019447327,0.11135830730199814,0.49331929619814846,0.5288446301955917,0.037915199995040894,0.011204801360145211,0.017369693145155907,0.0,0.06249746941396001,0.09688363329050427,32,151,181
broad,housing,501,750,250,0.29113635420799255,0.2502299132943153,0.2693265974521637,0.04733856022357941,0.4587856597068999,0.4937985993040452,0.017369693145155907,0.010248947579413652,0.017369693145155907,0.0,0.05716596548940365,0.09688363329050427,0,161,213
broad,housing,751,1000,250,0.2755269706249237,0.2442720165550709,0.25628645718097687,0.09092109650373459,0.4478621152353607,0.4698900694315582,0.017369693145155907,0.010282858341932297,0.017369693145155907,0.0,0.057355110907978527,0.09688363329050427,0,155,219
natural_language,Sydney public transport passenger data,1,10,10,0.7100193500518799,0.670802092552185,0.6677666902542114,0.6382764577865601,0.9447659313836597,0.9404908333912574,0.1865294873714447,0.08596633914858103,0.0681145042181015,0.018974700942635536,0.3400705288865551,0.2694512259532179,10,10,10
natural_language,Sydney public transport passenger data,11,25,15,0.655667781829834,0.6270148595174153,0.628384530544281,0.5874797105789185,0.8830954529219527,0.8850245144704381,0.2527897357940674,0.08010604381561279,0.055891167372465134,0.028283819556236267,0.3168880396349256,0.22109745554699387,15,15,15
